bin,head,condition,ref_score,score,delta
128k,20-21,y2_base,0.223591,0.179120,-0.044470
128k,21-25,y2_base,0.205668,0.200049,-0.005619
128k,18-10,y2_base,0.204885,0.133140,-0.071745
128k,18-16,y2_base,0.204507,0.122400,-0.082108
128k,19-22,y2_rpe_cur_L16k,0.406935,0.341242,-0.065693
128k,19-20,y2_rpe_cur_L16k,0.368820,0.358961,-0.009858
128k,19-15,y2_rpe_cur_L16k,0.356116,0.331961,-0.024155
128k,19-17,y2_rpe_cur_L16k,0.341250,0.295263,-0.045987
128k,19-23,y2_rpe_cur_L16k,0.321546,0.287170,-0.034376
128k,21-5,y2_rpe_cur_L16k,0.303386,0.302980,-0.000406
128k,19-6,y2_rpe_cur_L16k,0.294435,0.281136,-0.013299
128k,19-18,y2_rpe_cur_L16k,0.276629,0.181570,-0.095060
128k,21-4,y2_rpe_cur_L16k,0.240199,0.127166,-0.113032
128k,19-24,y2_rpe_cur_L16k,0.239557,0.142415,-0.097141
128k,16-0,y2_rpe_cur_L16k,0.225874,0.210989,-0.014885
128k,21-22,y2_rpe_cur_L16k,0.225015,0.123580,-0.101435
128k,20-21,y2_rpe_cur_L16k,0.223591,0.161974,-0.061616
128k,21-25,y2_rpe_cur_L16k,0.205668,0.186525,-0.019143
128k,18-10,y2_rpe_cur_L16k,0.204885,0.187779,-0.017106
128k,18-16,y2_rpe_cur_L16k,0.204507,0.151649,-0.052859
